Frame,Time_Seconds,CGY
1,0.02,660.480652
2,0.04,657.076721
3,0.06,652.967346
4,0.08,648.381592
5,0.1,643.570801
6,0.12,637.641174
7,0.14,630.990295
8,0.16,623.432556
9,0.18,614.589478
10,0.2,606.141479
11,0.22,597.259277
12,0.24,586.11554
13,0.26,573.434326
14,0.28,561.68689
15,0.3,551.574463
16,0.32,542.214172
17,0.34,533.321411
18,0.36,525.342712
19,0.38,517.288574
20,0.4,508.58316
21,0.42,501.741852
22,0.44,495.46756
23,0.46,489.605927
24,0.48,487.023407
25,0.5,484.617676
26,0.52,483.422852
27,0.54,482.909973
28,0.56,483.020966
29,0.58,485.464661
30,0.6,490.706726
31,0.62,499.891876
32,0.64,511.347321
33,0.66,524.68219
34,0.68,539.096497
35,0.7,554.986267
36,0.72,572.050903
37,0.74,589.983032
38,0.76,610.202148
39,0.78,631.861206
40,0.8,653.365967
41,0.82,675.736755
42,0.84,695.510986
43,0.86,712.680115
44,0.88,721.720642
45,0.9,727.814392
46,0.92,730.004272
47,0.94,728.602966
48,0.96,724.576721
49,0.98,713.801758
50,1,699.00293
51,1.02,679.626953
52,1.04,656.744202
53,1.06,632.426147
54,1.08,611.632202
55,1.1,594.294739
56,1.12,579.86499
57,1.14,565.214172
58,1.16,553.373169
59,1.18,543.447144
60,1.2,531.964417
61,1.22,521.304016
62,1.24,511.145874
63,1.26,499.850189
64,1.28,489.862457
65,1.3,480.512421
66,1.32,472.186462
67,1.34,463.807037
68,1.36,458.436218
69,1.38,452.769165
70,1.4,448.59726
71,1.42,445.729797
72,1.44,444.841522
73,1.46,445.406921
74,1.48,448.262207
75,1.5,452.230438
76,1.52,458.061768
77,1.54,464.283203
78,1.56,472.407623
79,1.58,482.070435
80,1.6,493.769714
81,1.62,507.660828
82,1.64,522.966309
83,1.66,539.675842
84,1.68,558.632385
85,1.7,577.375488
86,1.72,597.349792
87,1.74,616.388855
88,1.76,637.885986
89,1.78,659.057678
90,1.8,679.061035
91,1.82,694.548889
92,1.84,705.82959
93,1.86,712.576355
94,1.88,715.1427
95,1.9,714.461121
96,1.92,710.387878
